query,mode,repeats,transfers,executed_bytes_cv,executed_files_cv,executed_bytes_max_min,peak_buffer_cv,queue_wait_p50_ms,queue_wait_p95_ms,queue_wait_max_ms,enqueue_demand_p50_mib,enqueue_demand_p95_mib,max_total_queue_mib,max_total_queue_depth,adaptive_limit_changes
q27,selective-gate-cost,3,0.0,0.09073354129245162,0.08524042571328025,1.639782849228271,0.0362401341815782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q28,selective-all,3,274.0,0.1801936257977451,0.19283744267355082,2.3068039181299227,0.15757156848989673,16.9503305,132.2787418999997,480.4766,35.65625,71.29296875,641.58203125,12.0,222.0
q28,selective-base,3,1161.0,0.26750272307820394,0.22110134152161143,3.325770212386553,0.1957042552620802,11.277356,66.43478,383.340525,17.73046875,70.671875,1131.140625,27.0,0.0
q28,selective-gate,3,470.0,0.23555567607655836,0.17182882902579238,2.589796439920887,0.2106110654276714,14.454818,148.94001564999994,503.956379,35.65625,71.2373046875,787.69921875,13.0,0.0
q28,selective-gate-cost,3,485.0,0.18567361878510683,0.13177327793351637,2.585895258301515,0.2056237857316519,14.492171,145.49524964999998,493.588068,36.37109375,71.29296875,690.921875,17.0,0.0
q29,selective-all,3,48.0,0.06424787288969969,0.062152353447496256,1.6019377064801386,0.14925687581575475,241.799598,524.1744504999999,668.877538,14.640625,22.7578125,223.51171875,20.0,98.0
q29,selective-base,3,523.0,0.07160959806478566,0.07130377630690397,1.6320294518738916,0.15429773587402987,191.170478,682.23827525,1241.416914,14.9140625,17.51953125,717.98046875,69.0,0.0
q29,selective-gate,3,54.0,0.06521716476102823,0.06453711383769807,1.6060904123462616,0.16360283062507336,280.4181805,797.930850649999,1251.203066,22.609375,22.7578125,227.578125,18.0,0.0
q29,selective-gate-cost,3,52.0,0.06646650392511115,0.06390987917567988,1.618422291128245,0.15657481922535998,299.542858,1124.3123341499986,1315.964678,22.609375,22.7578125,249.9921875,18.0,0.0
q30,selective-all,3,0.0,0.1754920604097924,0.17555801797634094,2.031822159985997,0.0020815436695489843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q30,selective-base,3,148.0,0.2498279842085015,0.24974840855974434,2.072616048938467,0.0021620893351292606,4.265917,33.80428830000001,40.09904,0.6015625,0.6015625,14.36328125,24.0,0.0
q30,selective-gate,3,0.0,0.21282933201649892,0.21277268808960184,2.039037756663464,0.00208266534201001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q30,selective-gate-cost,3,0.0,0.19794747558436862,0.19802337446861543,2.149350424389399,0.0018354337311210034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q31,selective-all,3,0.0,0.06278056320117262,0.06943682141320086,1.3855773465762034,0.02871411054262477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
q31,selective-base,3,571.0,0.06799474613162258,0.08630249195236195,1.3510475542900855,0.03853600417289357,16.582942,124.76311859999983,297.721413,6.7734375,8.0546875,174.3046875,41.0,0.0
q31,selective-gate,3,0.0,0.07383374709869714,0.0755735717436575,1.421459867623753,0.02959351294076702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q31,selective-gate-cost,3,0.0,0.06422919623446519,0.07107872437370939,1.3146116739999192,0.027900905874783548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q32,selective-all,3,0.0,0.24899629383653765,0.25216167483165686,2.098116498476663,0.030616408704862024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
